Dataset: All variables
                                           Feature  Coefficient
25                               Unemployment rate    -0.065734
26                                  Inflation rate     0.004990
27                                             GDP    -0.028359
Dataset: Before 1st sem without tuition
                       Feature  Coefficient
0                    Intercept     2.054878
1               Marital status     0.055055
2             Application mode    -0.051254
3            Application order    -0.001499
4                       Course    -0.023473
5   Daytime/evening attendance    -0.326256
6       Previous qualification     0.017670
7                  Nacionality    -0.085450
8       Mother's qualification    -0.010887
9       Father's qualification     0.001253
10         Mother's occupation     0.043796
11         Father's occupation     0.012648
12                   Displaced     0.014345
13   Educational special needs    -0.531440
14                      Debtor    -1.872696
15                      Gender    -0.818305
16          Scholarship holder     1.447133
17           Age at enrollment    -0.045127
18               International     1.189770
19           Unemployment rate     0.022498
20              Inflation rate    -0.036595
21                         GDP     0.039303
Dataset: During 2nd sem without tuition
                                           Feature  Coefficient
0                                        Intercept     2.034937
1                                   Marital status     0.081657
2                                 Application mode    -0.028889
3                                Application order    -0.006856
4                                           Course    -0.093119
5                       Daytime/evening attendance    -0.440854
6                           Previous qualification     0.032376
7                                      Nacionality    -0.102123
8                           Mother's qualification    -0.005876
9                           Father's qualification     0.004874
10                             Mother's occupation     0.057822
11                             Father's occupation     0.009781
12                                       Displaced    -0.314973
13                       Educational special needs    -0.081343
14                                          Debtor    -1.887632
15                                          Gender    -0.458671
16                              Scholarship holder     0.864741
17                               Age at enrollment    -0.040598
18                                   International     1.422007
19             Curricular units 1st sem (credited)    -0.333952
20             Curricular units 1st sem (enrolled)    -0.570218
21          Curricular units 1st sem (evaluations)    -0.054099
22             Curricular units 1st sem (approved)     1.263680
23                Curricular units 1st sem (grade)     0.017867
24  Curricular units 1st sem (without evaluations)     0.228330
25             Curricular units 2nd sem (enrolled)    -0.114960
26                               Unemployment rate    -0.062611
27                                  Inflation rate     0.002731
28                                             GDP    -0.026103
Dataset: During 1st sem without tuition
                                Feature  Coefficient
0                             Intercept     1.436181
1                        Marital status     0.093785
2                      Application mode    -0.068176
3                     Application order    -0.016459
4                                Course    -0.043188
5            Daytime/evening attendance    -0.448339
6                Previous qualification     0.013688
7                           Nacionality    -0.069133
8                Mother's qualification    -0.011422
9                Father's qualification     0.001045
10                  Mother's occupation     0.045433
11                  Father's occupation     0.014343
12                            Displaced     0.051546
13            Educational special needs    -0.367027
14                               Debtor    -1.867934
15                               Gender    -0.706189
16                   Scholarship holder     1.478300
17                    Age at enrollment    -0.057389
18                        International     1.074234
19  Curricular units 1st sem (enrolled)     0.212330
20                    Unemployment rate     0.014827
21                       Inflation rate    -0.054488
22                                  GDP     0.048280
